Date,NVDA,GOOGL,AAPL,MSFT,AMZN,AVGO,META,TSLA,WMT,BRK-B
2026-01-01,232.28,388.92,298.82,422.49,263.76,427.99,629.27,441.68,131.75,490.26
2026-01-02,230.13,385.3,300.27,406.32,254.66,423.17,616.52,444.45,129.36,476.41
2026-01-05,236.88,383.56,300.67,394.74,251.89,424.11,602.33,447.79,127.8,473.64
2026-01-06,234.03,397.77,300.59,386.39,256.03,413.76,604.84,430.24,124.41,475.5
2026-01-07,237.48,399.13,299.9,384.07,248.46,407.8,599.27,439.34,125.26,458.73
2026-01-08,239.02,396.06,295.84,388.77,253.58,415.4,589.21,436.62,126.09,467.68
2026-01-09,236.73,394.59,289.29,379.46,257.7,426.66,588.36,445.38,127.01,461.65
2026-01-12,238.44,406.72,289.08,391.34,244.2,433.68,589.39,442.72,127.24,443.3
2026-01-13,237.4,409.63,297.63,387.28,240.25,429.32,600.18,445.63,125.89,447.85
2026-01-14,237.86,417.57,293.45,384.74,238.37,416.76,603.73,447.96,125.9,445.75
2026-01-15,231.12,414.05,291.44,378.57,237.6,420.13,626.51,449.52,126.55,445.08
2026-01-16,222.25,413.83,291.79,397.22,236.69,422.66,626.07,439.02,129.45,451.78
2026-01-19,225.77,406.31,299.97,386.08,239.46,441.18,613.67,434.04,129.7,447.23
2026-01-20,218.77,406.86,293.6,389.74,235.06,454.85,604.06,431.25,131.81,436.22
2026-01-21,219.76,417.5,284.16,391.18,236.28,461.96,589.11,419.86,133.19,438.81
2026-01-22,220.86,420.39,280.3,393.0,237.67,455.36,611.1,423.84,130.02,444.57
2026-01-23,216.56,427.01,286.79,386.55,242.25,459.12,621.14,439.92,129.38,437.87
2026-01-26,212.71,420.04,286.35,389.18,243.59,466.72,621.31,452.7,128.69,461.69
2026-01-27,215.37,412.84,280.22,392.94,242.5,473.38,627.19,452.05,126.51,447.7
2026-01-28,213.44,419.91,281.42,383.15,243.34,477.03,616.1,453.44,126.66,437.47
2026-01-29,214.97,424.62,287.51,391.23,236.63,468.08,622.45,458.09,127.97,471.18
2026-01-30,217.43,434.27,293.0,396.32,235.14,475.19,612.82,455.92,126.72,471.95
2026-02-02,227.49,418.05,297.02,383.54,232.92,485.54,613.61,446.1,124.91,478.37
2026-02-03,224.17,419.86,297.29,378.54,242.91,491.69,588.76,447.76,123.26,486.52
2026-02-04,220.62,418.9,300.29,385.09,237.08,488.4,583.17,441.91,127.61,490.46
2026-02-05,215.05,426.59,313.04,393.05,229.87,483.67,597.94,435.66,128.74,498.06
2026-02-06,211.07,426.08,292.75,384.99,228.71,471.6,617.46,423.19,127.61,499.36
2026-02-09,217.15,413.84,299.56,385.07,224.22,475.96,619.92,418.11,127.79,495.51
2026-02-10,217.64,419.32,309.06,375.54,233.79,457.38,618.04,423.03,128.51,489.34
2026-02-11,216.74,415.19,305.42,381.92,235.46,451.04,629.16,425.63,130.59,495.5
2026-02-12,213.14,410.54,309.98,386.58,235.36,452.1,645.24,420.6,132.02,493.5
2026-02-13,212.22,419.56,315.1,392.87,241.5,452.29,654.04,417.99,132.88,492.22
2026-02-16,212.63,424.55,309.94,409.31,236.65,441.31,669.19,424.61,134.54,498.4
2026-02-17,212.58,416.93,310.41,403.77,241.26,440.01,658.14,421.88,135.65,492.78
2026-02-18,209.08,418.96,311.93,399.68,238.99,442.05,639.08,410.0,133.7,490.68
2026-02-19,210.38,431.33,317.28,398.4,238.9,433.19,638.84,407.63,134.56,482.56
2026-02-20,212.56,444.55,316.59,401.6,242.19,429.71,641.71,407.74,134.83,475.1
2026-02-23,212.67,448.98,325.78,409.3,252.62,423.12,652.9,409.23,140.73,467.42
2026-02-24,209.1,443.6,311.94,405.0,248.79,424.39,657.36,424.59,143.41,462.03
2026-02-25,205.34,447.96,303.71,419.84,254.66,420.41,634.84,436.09,143.08,473.47
2026-02-26,198.79,442.59,303.74,420.23,252.36,425.64,621.28,434.84,143.42,478.34
2026-02-27,201.62,432.63,294.42,430.97,254.04,419.27,640.56,435.85,146.8,478.98
2026-03-02,209.93,447.82,292.95,439.34,257.32,430.75,628.2,441.83,149.91,462.13
2026-03-03,204.96,429.56,291.37,445.65,265.05,431.39,648.66,429.63,144.8,461.62
2026-03-04,206.54,429.28,279.33,444.85,258.14,437.17,653.42,421.56,143.32,451.84
2026-03-05,206.28,437.48,273.82,449.34,255.4,430.23,652.02,412.83,141.73,441.02
2026-03-06,214.38,437.79,269.99,451.26,254.83,428.33,660.03,419.08,140.23,435.94
2026-03-09,213.2,417.63,261.81,463.6,263.21,426.2,667.64,421.69,148.86,445.7
2026-03-10,212.66,409.65,253.39,465.48,259.23,414.08,659.0,412.57,153.88,453.56
2026-03-11,212.63,421.78,253.79,457.46,267.13,418.54,645.33,411.0,151.19,441.01
2026-03-12,216.56,437.88,246.69,462.62,263.65,414.46,637.69,403.9,151.34,433.69
2026-03-13,217.74,437.44,245.51,454.22,260.61,420.72,644.07,396.0,151.64,440.2
2026-03-16,210.47,442.2,242.25,459.4,256.63,405.53,623.11,396.38,152.42,432.24
2026-03-17,213.15,427.5,241.93,448.28,253.28,405.92,612.39,393.33,155.49,427.25
2026-03-18,216.72,417.84,244.5,461.2,240.76,399.45,619.45,391.74,156.65,422.09
2026-03-19,217.09,416.54,250.21,463.55,242.39,396.16,613.41,388.35,157.88,418.54
2026-03-20,218.35,433.83,254.57,460.52,248.21,392.93,588.41,380.52,151.97,415.6
2026-03-23,218.43,448.38,256.23,458.51,252.33,375.55,591.18,386.38,147.48,425.1
2026-03-24,219.91,444.65,259.47,479.33,253.25,377.41,585.75,379.82,149.93,417.82
2026-03-25,220.22,440.41,261.96,482.53,258.5,373.56,582.59,372.38,148.6,420.98
2026-03-26,223.56,432.28,266.52,495.61,260.64,387.59,573.57,363.11,143.31,433.57
2026-03-27,226.48,431.8,268.01,484.45,273.39,388.59,574.83,368.38,144.69,435.52
2026-03-30,222.9,435.87,278.1,497.49,282.1,384.62,563.45,367.46,144.85,445.05
2026-03-31,215.36,449.21,277.22,493.24,276.39,371.89,572.73,368.0,141.11,433.52
